Gare de départ,Date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,daylight_duration
SAINT ETIENNE CHATEAUCREUX,2018-01-01,6.4112663,14.1905,0.54050004,137.7,110.5,19.040003,39.12092,85.67999,33042.473
SAINT ETIENNE CHATEAUCREUX,2018-02-01,0.3486101,13.1405,-10.6095,57.399998,24.1,23.310001,23.73271,52.56,37433.758
SAINT ETIENNE CHATEAUCREUX,2018-03-01,5.981965,15.0905,-4.7095,81.8,71.200005,7.42,36.088093,82.439995,42949.684
SAINT ETIENNE CHATEAUCREUX,2018-04-01,12.3932085,25.190498,2.2905,61.0,61.0,0.0,37.52471,80.28,48711.473
SAINT ETIENNE CHATEAUCREUX,2018-05-01,14.263685,26.040499,4.3405,157.70001,157.70001,0.0,25.099514,56.16,53647.38
SAINT ETIENNE CHATEAUCREUX,2018-06-01,17.81168,29.8405,7.3905,123.9,123.9,0.0,24.627787,53.28,56197.21
SAINT ETIENNE CHATEAUCREUX,2018-07-01,21.837679,32.5905,11.7405,36.899998,36.899998,0.0,18.892282,43.199997,54954.652
SAINT ETIENNE CHATEAUCREUX,2018-08-01,21.567514,32.1905,7.0405,14.8,14.8,0.0,26.903828,60.120003,50631.53
SAINT ETIENNE CHATEAUCREUX,2018-09-01,18.321749,29.3905,4.6405,17.8,17.8,0.0,23.893261,57.6,45120.707
SAINT ETIENNE CHATEAUCREUX,2018-10-01,12.4478245,25.3405,0.9405,107.8,68.7,27.370003,33.626774,70.56,39393.156
SAINT ETIENNE CHATEAUCREUX,2018-11-01,8.178972,17.940498,-1.4094999,100.4,98.6,1.26,36.50052,78.84,34315.06
SAINT ETIENNE CHATEAUCREUX,2018-12-01,5.1446667,16.2405,-3.4594998,44.3,43.7,0.42000002,27.871534,60.479996,31619.818
SAINT ETIENNE CHATEAUCREUX,2019-01-01,1.1327044,12.0905,-4.4595,52.4,21.2,21.91,28.835976,65.159996,33016.49
SAINT ETIENNE CHATEAUCREUX,2019-02-01,5.31297,18.3405,-7.4595003,43.2,17.2,18.2,29.957972,78.479996,37391.77
SAINT ETIENNE CHATEAUCREUX,2019-03-01,7.55179,18.6405,-2.5595,34.399998,32.1,1.61,46.6891,102.6,42903.227
SAINT ETIENNE CHATEAUCREUX,2019-04-01,9.309041,22.3405,-3.4095001,85.4,80.5,3.4299998,47.02791,103.67999,48669.258
SAINT ETIENNE CHATEAUCREUX,2019-05-01,11.407839,23.540499,0.6405,68.2,63.699997,3.1499999,32.686733,70.2,53615.387
SAINT ETIENNE CHATEAUCREUX,2019-06-01,19.961264,38.0905,7.6405,90.4,90.4,0.0,30.811037,67.67999,56192.89
SAINT ETIENNE CHATEAUCREUX,2019-07-01,22.993525,36.9405,12.6905,42.3,42.3,0.0,26.400545,59.399998,54977.668
