Gare de départ,Date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,daylight_duration
LYON PART DIEU,2018-01-01,7.02211,15.05,-0.35,116.2,115.1,0.77,33.933697,65.520004,32934.023
LYON PART DIEU,2018-02-01,1.656622,10.9,-8.55,40.8,30.5,7.2799997,31.731092,62.639996,37372.94
LYON PART DIEU,2018-03-01,6.9159946,16.65,-1.65,104.1,100.5,2.52,38.580513,77.4,42944.43
LYON PART DIEU,2018-04-01,13.561389,26.6,1.2,36.2,36.2,0.0,36.748222,75.6,48763.918
LYON PART DIEU,2018-05-01,16.355577,28.55,7.0,85.3,85.3,0.0,33.127823,63.0,53752.887
LYON PART DIEU,2018-06-01,20.41618,32.6,11.95,56.699997,56.699997,0.0,30.652895,61.56,56332.742
LYON PART DIEU,2018-07-01,24.28293,34.85,14.75,32.0,32.0,0.0,24.850431,48.96,55075.27
LYON PART DIEU,2018-08-01,23.340794,35.4,9.95,49.0,49.0,0.0,33.617138,65.159996,50704.008
LYON PART DIEU,2018-09-01,19.760693,31.05,8.6,14.3,14.3,0.0,32.039997,63.36,45136.977
LYON PART DIEU,2018-10-01,13.590928,25.9,1.7,73.6,72.4,0.84000003,30.124065,64.079994,39352.383
LYON PART DIEU,2018-11-01,8.476806,18.6,0.45,96.8,95.700005,0.77,39.345543,74.520004,34220.887
LYON PART DIEU,2018-12-01,5.326008,15.4,-2.6,72.1,71.9,0.14,33.841915,69.84,31494.873
LYON PART DIEU,2019-01-01,2.5711694,9.75,-4.35,47.4,33.7,9.59,36.0072,68.4,32907.746
LYON PART DIEU,2019-02-01,5.3060265,16.9,-3.0,35.9,34.0,1.3300002,38.403748,73.439995,37330.51
LYON PART DIEU,2019-03-01,8.804839,18.95,-1.45,42.199997,42.199997,0.0,49.712597,94.32,42897.51
LYON PART DIEU,2019-04-01,11.046528,23.9,-0.5,73.5,73.5,0.0,55.102345,108.0,48721.27
LYON PART DIEU,2019-05-01,13.730914,25.8,2.75,55.899998,55.899998,0.0,38.894997,75.24,53720.53
LYON PART DIEU,2019-06-01,20.986668,36.15,7.8,101.5,101.5,0.0,42.10769,83.520004,56328.367
LYON PART DIEU,2019-07-01,24.192944,37.55,14.45,45.8,45.8,0.0,29.070974,57.6,55098.555
LYON PART DIEU,2019-08-01,21.426075,32.75,12.1,99.70001,99.70001,0.0,29.88217,58.32,50746.375
LYON PART DIEU,2019-09-01,18.399376,30.8,6.9,30.300001,30.300001,0.0,28.291512,55.8,45182.137
LYON PART DIEU,2019-10-01,14.672514,25.55,6.05,128.4,128.4,0.0,37.16553,84.24,39399.383
LYON PART DIEU,2019-11-01,7.5411115,17.55,-0.3,107.7,91.200005,11.549999,39.763298,74.520004,34253.86
LYON PART DIEU,2019-12-01,6.3856854,16.75,-2.65,89.7,89.6,0.07,52.49708,104.399994,31500.87
LYON PART DIEU,2020-01-01,4.649462,14.45,-2.85,30.600002,30.600002,0.0,33.21573,63.72,32882.15
LYON PART DIEU,2020-02-01,7.3340516,18.1,-1.5,31.8,31.8,0.0,41.835968,86.03999,37376.215
LYON PART DIEU,2020-03-01,8.445094,20.1,-0.25,37.1,37.1,0.0,34.92742,67.67999,43046.29
LYON PART DIEU,2020-04-01,14.449027,24.25,0.9,41.6,41.6,0.0,28.521906,57.239998,48858.4
LYON PART DIEU,2020-05-01,16.732056,29.2,6.3,96.8,96.8,0.0,29.869154,60.479996,53824.43
LYON PART DIEU,2020-06-01,19.576876,32.9,10.55,46.2,46.2,0.0,31.780067,64.079994,56346.23
LYON PART DIEU,2020-07-01,23.400469,38.45,14.1,44.800003,44.800003,0.0,28.442278,55.44,55021.402
LYON PART DIEU,2020-08-01,23.457527,36.25,11.35,49.1,49.1,0.0,30.248568,60.120003,50618.797
LYON PART DIEU,2020-09-01,19.170279,32.65,7.5,66.1,66.1,0.0,28.227306,58.32,45036.7
LYON PART DIEU,2020-10-01,11.652218,20.3,2.3,126.700005,126.700005,0.0,47.52545,91.439995,39259.33
LYON PART DIEU,2020-11-01,8.268403,17.75,-1.95,17.900002,17.900002,0.0,31.526215,61.56,34144.902
LYON PART DIEU,2020-12-01,5.482863,14.1,-1.9,117.3,114.00001,2.38,46.552883,88.56,31482.787
LYON PART DIEU,2021-01-01,3.0192876,13.35,-4.05,87.8,74.1,9.59,53.76067,101.159996,32964.484
LYON PART DIEU,2021-02-01,7.3149557,18.75,-7.15,44.600002,39.9,3.2899997,36.735878,72.0,37419.543
LYON PART DIEU,2021-03-01,7.8048387,23.9,-0.65,30.399998,30.399998,0.0,32.402,63.36,42998.94
LYON PART DIEU,2021-04-01,10.456319,23.95,-0.45,39.4,39.100002,0.21000001,37.16553,73.079994,48813.965
LYON PART DIEU,2021-05-01,13.315391,25.3,3.0,147.2,147.2,0.0,41.054203,82.439995,53792.152
LYON PART DIEU,2021-06-01,20.967916,32.5,11.9,90.600006,90.600006,0.0,30.274265,68.4,56340.457
LYON PART DIEU,2021-07-01,20.316732,32.25,11.4,157.6,157.6,0.0,28.551426,57.239998,55048.13
LYON PART DIEU,2021-08-01,19.846035,32.6,11.8,43.399998,43.399998,0.0,25.982424,53.28,50658.715
LYON PART DIEU,2021-09-01,18.987707,29.35,9.05,51.8,51.8,0.0,30.259275,61.920002,45084.367
LYON PART DIEU,2021-10-01,11.938844,23.9,2.2,122.3,122.3,0.0,46.220413,92.52,39301.76
LYON PART DIEU,2021-11-01,5.8360415,15.15,-2.4,73.8,64.6,6.4400005,28.483257,54.36,34180.8
LYON PART DIEU,2021-12-01,4.165054,14.65,-2.8,99.700005,90.600006,6.37,33.127823,62.639996,31487.842
LYON PART DIEU,2022-01-01,1.8572581,13.1,-4.65,30.3,22.3,5.6,32.41799,60.839996,32934.844
LYON PART DIEU,2022-02-01,5.81064,17.4,-3.25,37.300003,37.300003,0.0,34.966362,64.439995,37377.43
LYON PART DIEU,2022-03-01,8.853562,21.1,-3.55,36.9,35.800003,0.77,34.114628,63.72,42949.566
LYON PART DIEU,2022-04-01,11.35382,21.95,-1.2,42.8,35.1,5.3900003,36.361782,68.76,48771.727
LYON PART DIEU,2022-05-01,18.638172,30.7,7.6,24.800001,24.800001,0.0,39.28126,73.439995,53758.902
LYON PART DIEU,2022-06-01,21.838335,35.7,12.45,133.1,133.1,0.0,36.145508,69.12,56335.773
LYON PART DIEU,2022-07-01,23.985012,37.2,11.65,3.8,3.8,0.0,27.475807,53.639996,55072.91
LYON PART DIEU,2022-08-01,23.834475,37.6,15.4,59.9,59.9,0.0,22.45315,43.199997,50697.977
LYON PART DIEU,2022-09-01,17.439932,29.9,6.15,62.6,62.6,0.0,32.76198,68.03999,45130.266
LYON PART DIEU,2022-10-01,16.700472,24.35,5.5,55.0,55.0,0.0,41.41408,78.12,39345.504
LYON PART DIEU,2022-11-01,9.668333,18.2,1.45,101.8,101.8,0.0,33.21573,62.639996,34215.367
LYON PART DIEU,2022-12-01,5.6822577,16.75,-4.7,100.1,92.4,5.3900003,37.938602,66.24,31492.27
LYON PART DIEU,2023-01-01,4.6920695,15.65,-3.9,53.2,47.0,4.34,39.97459,72.72,32908.934
LYON PART DIEU,2023-02-01,4.730506,15.5,-4.35,6.0000005,5.9,0.07,42.77794,79.2,37333.383
LYON PART DIEU,2023-03-01,8.703696,19.75,-4.05,104.9,104.9,0.0,42.305744,77.03999,42902.035
LYON PART DIEU,2023-04-01,10.65993,22.65,0.5,72.2,72.2,0.0,31.259945,59.399998,48726.727
LYON PART DIEU,2023-05-01,15.7780905,26.8,8.25,94.4,94.4,0.0,34.428497,63.72,53726.375
LYON PART DIEU,2023-06-01,21.831112,31.8,12.9,86.6,86.6,0.0,29.179993,56.519997,56330.805
LYON PART DIEU,2023-07-01,23.242271,36.7,12.95,75.5,75.5,0.0,35.85932,68.4,55096.06
LYON PART DIEU,2023-08-01,23.658535,40.75,10.95,24.0,24.0,0.0,30.7542,58.679996,50740.945
LYON PART DIEU,2023-09-01,20.638958,33.6,8.6,88.7,88.7,0.0,31.682047,62.279995,45174.73
LYON PART DIEU,2023-10-01,15.8217745,27.65,6.1,158.6,158.6,0.0,40.449966,82.439995,39392.492
LYON PART DIEU,2023-11-01,8.160486,18.85,-3.4,88.0,88.0,0.0,43.9259,86.03999,34247.105
LYON PART DIEU,2023-12-01,5.441129,14.15,-5.25,91.799995,91.7,0.07,37.44692,68.03999,31499.096
LYON PART DIEU,2024-01-01,3.9263442,14.4,-4.7,66.5,61.700005,3.36,34.567497,62.279995,32884.22
LYON PART DIEU,2024-02-01,7.417529,15.25,-0.85,70.200005,69.600006,0.42000002,43.6551,80.64,37380.207
LYON PART DIEU,2024-03-01,9.588441,20.6,-0.35,157.0,153.40001,2.5200002,45.60079,95.399994,43051.832
LYON PART DIEU,2024-04-01,11.539306,26.75,-1.25,100.4,100.4,0.0,38.761486,71.64,48863.633
LYON PART DIEU,2024-05-01,14.718951,25.95,5.6,148.0,148.0,0.0,28.802248,54.0,53830.125
LYON PART DIEU,2024-06-01,19.009443,29.95,9.3,93.8,93.8,0.0,34.03095,63.0,56347.7
LYON PART DIEU,2024-07-01,21.693481,36.45,11.15,119.2,119.2,0.0,29.179993,55.44,55018.832
LYON PART DIEU,2024-08-01,22.908804,35.2,11.2,57.600002,57.600002,0.0,38.881668,72.36,50612.97
LYON PART DIEU,2024-09-01,16.256945,29.65,5.45,192.7,192.7,0.0,42.498684,78.12,45029.938
LYON PART DIEU,2024-10-01,14.595296,23.45,5.8,119.9,119.9,0.0,53.37842,97.92,39252.64
LYON PART DIEU,2024-11-01,8.077084,18.4,-1.7,71.50001,71.50001,0.0,46.552883,102.24,34139.383
LYON PART DIEU,2024-12-01,3.2567878,11.55,-3.0,72.2,71.3,0.63,26.28,58.679996,31481.4
LYON PART DIEU,2025-01-01,4.29664,15.55,-6.05,75.2,75.2,0.0,42.82714,92.159996,32966.74
LYON PART DIEU,2025-02-01,5.590253,15.35,-3.0,56.8,56.699997,0.07,31.14468,68.4,37424.574
LYON PART DIEU,2025-03-01,8.540658,19.3,-0.85,66.7,66.7,0.0,31.738241,72.0,43004.434
